measure_id,trial_id,trial_number,blind_id,condition,condition_label,claim_weighted_preservation,component_weighted_preservation,mean_component_distortion_severity,any_distortion_rate,material_distortion_rate,n_claims,n_components
M09,M09-trial03,3,M09-B013,single_agent,Single agent,0.9333333333333332,0.92,0.08,0.08,0.0,10,25
M09,M09-trial01,1,M09-B014,single_agent,Single agent,0.9666666666666666,0.96,0.08,0.04,0.04,10,25
M09,M09-trial02,2,M09-B015,single_agent,Single agent,0.9666666666666666,0.96,0.04,0.04,0.0,10,25
M09,M09-trial04,4,M09-B016,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,10,25
M10,M10-trial03,3,M10-B001,single_agent,Single agent,0.9090909090909091,0.9354838709677419,0.03225806451612903,0.03225806451612903,0.0,11,31
M10,M10-trial04,4,M10-B002,independent_ensemble,Independent ensemble,0.8636363636363636,0.9032258064516129,0.0967741935483871,0.06451612903225806,0.03225806451612903,11,31
M10,M10-trial02,2,M10-B003,normal_debate,Normal debate,0.8636363636363636,0.9032258064516129,0.06451612903225806,0.06451612903225806,0.0,11,31
M10,M10-trial02,2,M10-B004,single_agent,Single agent,0.9545454545454546,0.967741935483871,0.0,0.0,0.0,11,31
M10,M10-trial03,3,M10-B005,independent_ensemble,Independent ensemble,0.8636363636363636,0.9032258064516129,0.06451612903225806,0.06451612903225806,0.0,11,31
M10,M10-trial03,3,M10-B006,normal_debate,Normal debate,0.8636363636363636,0.9032258064516129,0.06451612903225806,0.06451612903225806,0.0,11,31
M10,M10-trial04,4,M10-B007,normal_debate,Normal debate,0.8863636363636364,0.9032258064516129,0.06451612903225806,0.06451612903225806,0.0,11,31
M10,M10-trial01,1,M10-B008,single_agent,Single agent,0.8863636363636364,0.9032258064516129,0.03225806451612903,0.03225806451612903,0.0,11,31
M10,M10-trial03,3,M10-B009,critic_debate,Critic debate,0.9090909090909091,0.9354838709677419,0.0,0.0,0.0,11,31
